ID;fixed acidity;volatile acidity;citric acid
1958;7;0,12;0,32
1959;7,4;0,32;0,55
1960;8,5;0,17;0,31
1961;8,5;0,17;0,31
1962;9,5;0,21;0,47
1963;8,2;0,21;0,48
1964;7,4;0,32;0,55
1965;6,8;0,31;0,42
1966;6,8;0,27;0,28
1967;7,4;0,21;0,3
1968;8;0,23;0,35
1969;7,6;0,2;0,31
1970;6,3;0,41;0,3
1971;8,3;0,49;0,43
1972;6,3;0,41;0,3
1973;7,6;0,2;0,26
1974;7,5;0,26;0,26
1975;7,5;0,26;0,26
1976;6,8;0,27;0,35
1977;6,8;0,28;0,37
1978;8,4;0,2;0,27
1979;7,9;0,33;0,26
1980;7,5;0,38;0,5
1981;7,6;0,2;0,3
1982;7,6;0,2;0,3
1983;7,6;0,2;0,3
1984;7,6;0,2;0,3
1985;7,6;0,2;0,3
1986;8,1;0,19;0,58
1987;7,6;0,16;0,41
1988;8,1;0,22;0,28
1989;8;0,22;0,32
1990;7,1;0,33;0,3
1991;6,4;0,43;0,27
1992;7,6;0,2;0,3
1993;7;0,12;0,28
1994;7,4;0,3;0,22
1995;7;0,28;0,33
1996;8,4;0,2;0,38
1997;7;0,28;0,33
1998;8,4;0,2;0,38
1999;8,4;0,2;0,38
2000;7,3;0,18;0,31
2001;6,8;0,31;0,09
2002;6,7;0,31;0,08
2003;7,6;0,17;0,35
2004;7,4;0,3;0,22
2005;7,4;0,26;0,31
2006;7;0,28;0,33
2007;8,4;0,2;0,38
2008;5,6;0,18;0,31
2009;7,2;0,15;0,39
2010;8;0,4;0,33
2011;7;0,25;0,56
2012;7,2;0,15;0,39
2013;6,8;0,18;0,46
2014;6,6;0,32;0,22
2015;9;0,55;0,3
2016;6,9;0,19;0,39
2017;6,3;0,41;0,33
2018;9;0,55;0,3
2019;7;0,2;0,34
2020;6,6;0,32;0,22
2021;7,7;0,26;0,34
2022;6,3;0,21;0,28
2023;7,6;0,34;0,39
2024;6,3;0,21;0,28
2025;8;0,43;0,4
2026;7,5;0,3;0,71
2027;6,4;0,26;0,4
2028;6,9;0,32;0,15
2029;8,9;0,21;0,34
2030;7,6;0,34;0,39
2031;9,5;0,42;0,41
2032;7,6;0,29;0,26
2033;6,5;0,25;0,2
2034;7,2;0,23;0,33
2035;7,9;0,35;0,36
2036;8,8;0,2;0,28
2037;5,7;0,27;0,32
2038;7,6;0,29;0,26
2039;5,5;0,14;0,27
2040;8,7;0,24;0,35
2041;6,7;0,3;0,45
2042;5,5;0,14;0,27
2043;5,6;0,13;0,27
2044;7,4;0,18;0,34
2045;5,7;0,385;0,04
2046;8,7;0,24;0,35
2047;8,3;0,33;0,43
2048;6,8;0,34;0,44
2049;6,8;0,33;0,44
2050;6,3;0,28;0,24
2051;11,8;0,23;0,38
2052;6,8;0,21;0,27
2053;6,8;0,21;0,27
2054;8,6;0,485;0,29
2055;8,6;0,485;0,29
2056;7,3;0,29;0,29
2057;6,8;0,21;0,27
2058;6,7;0,31;0,31
2059;7,3;0,29;0,37
2060;5,7;0,46;0,46
2061;6,8;0,28;0,44
2062;6,7;0,23;0,33
2063;6,9;0,17;0,25
2064;7,6;0,18;0,36
2065;6,6;0,22;0,28
2066;7,8;0,27;0,28
2067;7,7;0,28;0,29
2068;7,6;0,29;0,29
2069;5,7;0,32;0,18
2070;7,1;0,33;0,25
2071;7,3;0,34;0,3
2072;6,5;0,19;0,26
2073;6,6;0,23;0,27
2074;6,6;0,27;0,29
2075;6,6;0,22;0,28
2076;7,6;0,18;0,36
2077;6,8;0,36;0,32
2078;7;0,22;0,39
2079;5,9;0,17;0,3
2080;7,4;0,45;0,32
2081;6,8;0,36;0,32
2082;7,5;0,42;0,14
2083;7,5;0,33;0,32
2084;9,4;0,3;0,32
2085;7,9;0,17;0,32
2086;7,9;0,17;0,32
2087;8,2;0,17;0,32
2088;8,3;0,17;0,31
2089;8,7;0,15;0,3
2090;7,9;0,17;0,32
2091;7,2;0,25;0,19
2092;7,2;0,24;0,19
2093;5,3;0,76;0,03
2094;6,6;0,22;0,53
2095;6,6;0,22;0,53
2096;8,4;0,28;0,4
2097;6,8;0,32;0,34
2098;6,7;0,24;0,33
2099;7,4;0,18;0,36
2100;6;0,16;0,3
2101;6,7;0,24;0,33
2102;6,8;0,28;0,35
2103;6,2;0,34;0,3
2104;6;0,27;0,15
2105;6;0,16;0,3
2106;6,8;0,32;0,34
2107;8,5;0,24;0,47
2108;8,1;0,24;0,33
2109;7,4;0,18;0,36
2110;7,7;0,23;0,31
2111;6,5;0,22;0,25
2112;6,5;0,22;0,25
2113;6,5;0,22;0,25
2114;5,7;0,33;0,15
2115;7,7;0,23;0,31
2116;6,5;0,22;0,25
2117;6,8;0,2;0,27
2118;7,7;0,26;0,32
2119;6,4;0,2;0,32
2120;8;0,16;0,36
2121;6,8;0,25;0,27
2122;7,7;0,39;0,28
2123;6,9;0,26;0,33
2124;6,8;0,25;0,27
2125;7,7;0,39;0,28
2126;6;0,28;0,22
2127;6,5;0,43;0,28
2128;9,1;0,33;0,38
2129;5,9;0,5;0,05
2130;6,8;0,28;0,39
2131;7;0,35;0,24
2132;7,1;0,22;0,32
2133;7,1;0,22;0,32
2134;8,3;0,24;0,27
2135;6,8;0,26;0,32
2136;7,2;0,16;0,26
2137;7,9;0,18;0,36
2138;7,2;0,16;0,26
2139;5,5;0,24;0,32
2140;7,1;0,33;0,64
2141;7,7;0,28;0,35
2142;7,7;0,28;0,35
2143;7,5;0,26;0,52
2144;6,5;0,14;0,32
2145;8,2;0,21;0,32
2146;7,2;0,2;0,31
2147;7,2;0,115;0,3
2148;6,4;0,29;0,2
2149;7,1;0,33;0,64
2150;6,8;0,24;0,34
2151;7;0,24;0,34
2152;7,7;0,28;0,35
2153;7;0,22;0,33
2154;7,5;0,18;0,39
2155;9,8;0,93;0,45
2156;7,8;0,29;0,33
2157;7,9;0,28;0,32
2158;8,5;0,25;0,27
2159;7,4;0,18;0,27
2160;6,3;0,24;0,37
2161;6;0,33;0,38
2162;6,8;0,37;0,28
2163;9,9;0,49;0,23
2164;8,5;0,25;0,27
2165;8,4;0,22;0,28
2166;7;0,35;0,31
2167;7;0,35;0,31
2168;7,4;0,19;0,3
2169;7,4;0,19;0,3
2170;7,4;0,19;0,3
2171;7,4;0,19;0,3
2172;7,4;0,19;0,3
2173;6,9;0,32;0,13
2174;7,6;0,32;0,58
2175;7,4;0,19;0,3
2176;7,4;0,19;0,3
2177;6,9;0,32;0,13
2178;6;0,34;0,24
2179;7,6;0,32;0,58
2180;7,7;0,24;0,31
2181;8;0,36;0,43
2182;7,4;0,29;0,25
2183;6,6;0,32;0,27
2184;6,3;0,3;0,24
2185;6,4;0,33;0,24
2186;7,5;0,18;0,31
2187;6,5;0,39;0,81
2188;6,8;0,25;0,18
2189;6,4;0,18;0,32
2190;7,1;0,18;0,32
2191;7,6;0,27;0,42
2192;9,2;0,23;0,35
2193;7,9;0,28;0,41
2194;7,1;0,18;0,32
2195;6,4;0,18;0,32
2196;6,8;0,25;0,18
2197;7;0,22;0,26
2198;7,3;0,18;0,29
2199;7,1;0,26;0,19
2200;6,6;0,25;0,42
2201;6,4;0,24;0,23
2202;6;0,28;0,27
2203;7,1;0,26;0,19
2204;7,8;0,24;0,38
2205;7,6;0,27;0,33
2206;7,7;0,39;0,34
2207;8,9;0,24;0,33
2208;6,6;0,23;0,24
2209;7,1;0,26;0,3
2210;7;0,32;0,35
2211;7,4;0,24;0,26
2212;6,9;0,21;0,33
2213;7;0,32;0,35
2214;7,4;0,17;0,29
2215;7,1;0,26;0,3
2216;8,5;0,28;0,34
2217;7,8;0,3;0,37
2218;8,1;0,25;0,38
2219;7,7;0,28;0,29
2220;6,5;0,24;0,36
2221;7;0,22;0,32
2222;8,5;0,28;0,34
2223;8;0,45;0,28
2224;6,9;0,23;0,33
2225;8;0,45;0,28
2226;7,6;0,23;0,26
2227;7,7;0,28;0,58
2228;7,7;0,27;0,61
2229;7,1;0,2;0,36
2230;6,9;0,25;0,35
2231;7,1;0,2;0,36
2232;6,9;0,25;0,35
2233;8,4;0,2;0,31
2234;6,5;0,39;0,35
2235;7,2;0,23;0,38
2236;6,9;0,44;0,42
2237;7,1;0,28;0,19
2238;6,4;0,34;0,2
2239;6,1;0,15;0,29
2240;6,9;0,44;0,42
2241;7,2;0,29;0,18
2242;7,1;0,28;0,19
2243;6,1;0,23;0,45
2244;6,7;0,23;0,42
2245;7;0,36;0,14
2246;7,5;0,31;0,24
2247;6,4;0,34;0,2
2248;6,1;0,15;0,29
2249;7,4;0,2;0,29
2250;6,3;0,27;0,18
2251;9,2;0,34;0,54
2252;7,4;0,18;0,29
2253;7,2;0,29;0,2
2254;6,3;0,27;0,18
2255;6,2;0,26;0,19
2256;7,3;0,21;0,21
2257;7,1;0,14;0,35
2258;7,2;0,39;0,54
2259;7,6;0,48;0,28
2260;7,2;0,39;0,54
2261;7,6;0,48;0,28
2262;6,5;0,36;0,31
2263;8,5;0,25;0,31
2264;6,9;0,3;0,21
2265;6,6;0,19;0,43
2266;6,9;0,3;0,21
2267;9,4;0,42;0,32
2268;6,6;0,19;0,43
2269;6,3;0,2;0,3
2270;8,5;0,19;0,56
2271;7,3;0,19;0,25
2272;6,7;0,25;0,26
2273;6,2;0,25;0,28
2274;6,1;0,46;0,32
2275;7,3;0,19;0,25
2276;7,5;0,29;0,26
2277;6,7;0,31;0,18
2278;7,4;0,14;0,3
2279;6,7;0,31;0,18
2280;7,1;0,4;0,52
2281;6,4;0,16;0,25
2282;6,3;0,16;0,22
2283;7,4;0,33;0,26
2284;7,4;0,33;0,26
2285;7,4;0,33;0,26
2286;7,4;0,33;0,26
2287;6,6;0,41;0,24
2288;6,7;0,43;0,23
2289;7,4;0,33;0,26
2290;7,3;0,4;0,28
2291;7,4;0,18;0,24
2292;8,6;0,17;0,28
2293;6,5;0,32;0,23
2294;7,3;0,4;0,28
2295;7;0,32;0,31
2296;7,5;0,42;0,19
2297;6,9;0,28;0,31
2298;6,5;0,29;0,42
2299;6,3;0,41;0,18
2300;7;0,32;0,31
2301;7,3;0,3;0,33
2302;6,6;0,22;0,28
2303;6;0,26;0,18
2304;6,9;0,44;0,18
2305;7,5;0,42;0,2
2306;7;0,36;0,3
2307;5,6;0,295;0,2
2308;6,8;0,21;0,55
2309;9,4;0,28;0,3
2310;8,1;0,28;0,34
2311;6,8;0,21;0,55
2312;7;0,22;0,26
2313;9,4;0,28;0,3
2314;6,8;0,32;0,3
2315;7;0,19;0,33
2316;7,7;0,42;0,38
2317;7,4;0,2;0,31
2318;7,5;0,24;0,62
2319;7,5;0,26;0,59
2320;6,6;0,4;0,32
2321;8;0,2;0,3
2322;4,6;0,445;0
2323;6,1;0,41;0,04
2324;7,6;0,2;0,34
2325;6,9;0,3;0,21
2326;7;0,35;0,17
2327;6,9;0,35;0,55
2328;7;0,35;0,17
2329;6,9;0,35;0,55
2330;7,6;0,3;0,4
2331;7,5;0,38;0,29
2332;7,5;0,3;0,32
2333;6,3;0,4;0,32
2334;6,8;0,37;0,28
2335;7,5;0,23;0,35
2336;8,3;0,27;0,34
2337;6,8;0,26;0,22
2338;6,5;0,28;0,35
2339;7,2;0,34;0,3
2340;7;0,23;0,26
2341;7,7;0,29;0,29
2342;7,2;0,34;0,3
2343;7,7;0,4;0,27
2344;6,7;0,17;0,27
2345;7;0,23;0,26
2346;8,1;0,24;0,26
2347;7,7;0,28;0,63
2348;7,5;0,23;0,29
2349;8,3;0,26;0,31
2350;7,9;0,46;0,4
2351;7,9;0,31;0,22
2352;7,9;0,25;0,34
2353;6,1;0,28;0,16
2354;7;0,18;0,26
2355;6,5;0,21;0,28
2356;7,6;0,48;0,33
2357;7,1;0,34;0,32
2358;8,9;0,21;0,37
2359;7,4;0,32;0,27
2360;6;0,495;0,27
2361;8,1;0,25;0,34
2362;8,2;0,25;0,46
2363;6,5;0,18;0,29
2364;6,7;0,24;0,26
2365;6,6;0,32;0,24
2366;7,6;0,32;0,35
2367;7,4;0,33;0,44
2368;7,2;0,3;0,3
2369;7,4;0,34;0,3
2370;6,1;0,16;0,29
2371;6,3;0,1;0,24
2372;6,2;0,45;0,73
2373;6;0,33;0,18
2374;7,6;0,48;0,37
2375;7,2;0,2;0,3
2376;7;0,32;0,29
2377;7,2;0,2;0,3
2378;7;0,22;0,29
2379;9,4;0,23;0,56
2380;6,4;0,27;0,19
2381;6,4;0,27;0,19
2382;7;0,23;0,42
2383;6,9;0,15;0,28
2384;6,7;0,26;0,29
2385;6,9;0,15;0,28
2386;7,6;0,2;0,68
2387;6,9;0,3;0,29
2388;6,9;0,3;0,3
2389;7,6;0,21;0,35
2390;6,8;0,46;0,26
2391;7;0,28;0,26
2392;6,5;0,24;0,29
2393;6,4;0,17;0,34
2394;6,4;0,17;0,34
2395;6,3;0,695;0,55
2396;7;0,27;0,29
2397;8,4;0,3;0,25
2398;6,5;0,19;0,27
2399;8;0,36;0,39
2400;6,1;0,16;0,24
2401;9,2;0,19;0,42
2402;9,2;0,16;0,49
2403;8;0,26;0,28
2404;8,8;0,33;0,36
2405;9,8;0,16;0,46
2406;6,6;0,23;0,18
2407;7,9;0,44;0,26
2408;7,6;0,31;0,27
2409;7,5;0,705;0,1
2410;7,1;0,21;0,28
2411;7;0,16;0,26
2412;8;0,27;0,25
2413;6,3;0,38;0,17
2414;7,1;0,21;0,28
2415;6,2;0,38;0,18
2416;8,2;0,24;0,3
2417;7;0,16;0,26
2418;7,3;0,815;0,09
2419;6,3;0,41;0,16
2420;6,1;0,36;0,41
2421;8,1;0,4;0,32
2422;6,8;0,26;0,43
2423;6,2;0,44;0,18
2424;7,2;0,24;0,29
2425;6,2;0,44;0,18
2426;7,2;0,24;0,29
2427;7,3;0,22;0,26
2428;8,1;0,34;0,28
2429;7,3;0,22;0,26
2430;8,1;0,34;0,28
2431;6,4;0,28;0,17
2432;6,3;0,29;0,14
2433;6,4;0,27;0,17
2434;7,4;0,35;0,2
2435;8,3;0,28;0,27
2436;6,4;0,35;0,35
2437;6,9;0,43;0,28
2438;8;0,26;0,28
2439;6,9;0,43;0,28
2440;7,3;0,27;0,37
2441;6,8;0,46;0,26
2442;7,2;0,2;0,28
2443;7,6;0,285;0,32
2444;6,6;0,32;0,33
2445;7,6;0,285;0,32
2446;6,6;0,34;0,34
2447;6,6;0,32;0,33
2448;6,5;0,27;0,26
2449;6,6;0,26;0,27
2450;6,7;0,27;0,26
2451;6,6;0,56;0,15
2452;6,6;0,56;0,15
2453;7,3;0,19;0,27
2454;6,3;0,2;0,26
2455;7,1;0,29;0,3
2456;7,8;0,32;0,33
2457;8,1;0,33;0,36
2458;8,1;0,33;0,36
2459;7,8;0,32;0,33
2460;6,6;0,33;0,24
2461;6,6;0,33;0,24
2462;8,2;0,26;0,33
2463;8,3;0,25;0,33
2464;7;0,26;0,26
2465;6;0,26;0,15
2466;7,5;0,28;0,78
2467;7,5;0,27;0,79
2468;7;0,28;0,32
2469;5,2;0,16;0,34
2470;6,8;0,34;0,1
2471;7,6;0,25;0,34
2472;5,6;0,35;0,4
2473;8,8;0,24;0,23
2474;6;0,29;0,21
2475;6,1;0,27;0,31
2476;7,4;0,56;0,09
2477;6,8;0,29;0,49
2478;6,1;0,27;0,31
2479;6,3;0,27;0,37
2480;6,6;0,24;0,3
2481;6,8;0,32;0,3
2482;6,4;0,37;0,37
2483;6,2;0,26;0,37
2484;6,3;0,27;0,37
2485;6,4;0,3;0,16
2486;8;0,28;0,32
2487;6,7;0,24;0,32
2488;7,9;0,27;0,27
2489;7,9;0,27;0,27
2490;6,1;0,28;0,24
2491;7,7;0,39;0,49
2492;6;0,2;0,24
2493;6,1;0,28;0,24
2494;7,6;0,31;0,23
2495;7,6;0,31;0,23
2496;6,3;0,18;0,22
2497;8,6;0,23;0,25
2498;6,8;0,21;0,36
2499;6,8;0,21;0,36
2500;6,9;0,26;0,31
2501;6,8;0,21;0,36
2502;6,4;0,31;0,4
2503;8,6;0,34;0,36
2504;8,6;0,34;0,36
2505;8,5;0,3;0,28
2506;7,4;0,4;0,41
2507;6,6;0,32;0,34
2508;7,1;0,34;0,31
2509;6,6;0,26;0,25
2510;8;0,27;0,57
2511;6,2;0,28;0,45
2512;6,2;0,3;0,49
2513;5,6;0,175;0,29
2514;6,9;0,34;0,36
2515;6,9;0,34;0,3
2516;7,1;0,12;0,3
2517;7,1;0,32;0,29
2518;7,3;0,51;0,29
2519;7,1;0,12;0,3
2520;6,3;0,24;0,55
2521;7,5;0,41;0,23
2522;6,5;0,18;0,33
2523;7,3;0,17;0,24
2524;8,2;0,2;0,38
2525;7,5;0,41;0,23
2526;7,3;0,17;0,24
2527;6,5;0,18;0,33
2528;7,3;0,16;0,35
2529;6,4;0,16;0,37
2530;6,6;0,42;0,13
2531;5,8;0,3;0,12
2532;6,7;0,54;0,27
2533;6,7;0,54;0,27
2534;6,4;0,22;0,3
2535;6,8;0,23;0,3
2536;9;0,26;0,34
2537;6,5;0,23;0,25
2538;5,9;0,28;0,14
2539;5,9;0,28;0,14
2540;6,2;0,27;0,18
2541;9;0,29;0,34
2542;9;0,26;0,34
2543;8,9;0,27;0,34
2544;6,5;0,23;0,25
2545;6,9;0,32;0,3
2546;7,2;0,22;0,24
2547;6,7;0,5;0,38
2548;6,2;0,33;0,14
2549;6,3;0,26;0,42
2550;7,5;0,2;0,47
2551;6,2;0,33;0,14
2552;6,3;0,26;0,42
2553;6,6;0,36;0,52
2554;6,3;0,13;0,42
2555;6,4;0,15;0,44
2556;6,3;0,13;0,42
2557;7,6;0,23;0,64
2558;6,4;0,15;0,44
2559;6,3;0,13;0,42
2560;5,7;0,255;0,65
2561;6,9;0,32;0,26
2562;6,9;0,28;0,22
2563;6,9;0,32;0,26
2564;5,7;0,255;0,65
2565;6,6;0,41;0,16
2566;7,3;0,37;0,16
2567;6,9;0,21;0,24
2568;6,6;0,24;0,28
2569;6,8;0,28;0,36
2570;6,6;0,24;0,24
2571;6,6;0,24;0,28
2572;7;0,16;0,32
2573;7;0,14;0,28
2574;6,3;0,34;0,36
2575;6,8;0,26;0,24
2576;6,7;0,17;0,42
2577;6,5;0,27;0,4
2578;6,7;0,25;0,36
2579;5,8;0,3;0,27
2580;6,4;0,28;0,56
2581;7,7;0,3;0,26
2582;6,8;0,18;0,3
2583;6,8;0,18;0,3
2584;6,8;0,18;0,3
2585;6,8;0,18;0,3
2586;6,8;0,18;0,3
2587;6,8;0,18;0,3
2588;5,1;0,14;0,25
2589;6,8;0,18;0,3
2590;7,2;0,615;0,1
2591;6,9;0,13;0,28
2592;6,7;0,34;0,3
2593;7,3;0,32;0,29
2594;6,3;0,21;0,29
2595;5,4;0,5;0,13
2596;8,2;0,52;0,34
2597;7,8;0,28;0,31
2598;6,4;0,22;0,34
2599;7,8;0,28;0,31
2600;6,9;0,32;0,27
2601;6,8;0,11;0,42
2602;6,2;0,26;0,32
2603;6,4;0,22;0,34
2604;6,7;0,3;0,29
2605;6,7;0,3;0,29
2606;7,1;0,2;0,3
2607;7,2;0,2;0,36
2608;8,9;0,26;0,33
2609;7,5;0,25;0,32
2610;7,1;0,2;0,3
2611;6,3;0,27;0,46
2612;6,5;0,3;0,39
2613;6,7;0,3;0,29
2614;6,6;0,36;0,52
2615;6,15;0,21;0,37
2616;6,5;0,18;0,41
2617;6,5;0,18;0,41
2618;6,5;0,18;0,41
2619;6,6;0,26;0,21
2620;6,6;0,35;0,35
2621;6,5;0,28;0,28
2622;6,6;0,36;0,52
2623;6,6;0,26;0,21
2624;6,5;0,18;0,41
2625;6,15;0,21;0,37
2626;4,5;0,19;0,21
2627;8;0,24;0,26
2628;7,8;0,17;0,23
2629;7;0,24;0,24
2630;5,8;0,6;0
2631;5,9;0,445;0,26
2632;6,7;0,28;0,28
2633;6,8;0,44;0,2
2634;7,2;0,24;0,27
2635;8,7;0,31;0,73
2636;8,2;0,32;0,26
2637;7,2;0,24;0,27
2638;8,7;0,31;0,73
2639;7,5;0,13;0,38
2640;9,2;0,14;0,37
2641;7,4;0,2;0,37
2642;6,1;0,15;0,35
2643;7,6;0,23;0,4
2644;8,1;0,33;0,22
2645;7,15;0,17;0,24
2646;6,7;0,12;0,3
2647;5,7;0,18;0,36
2648;5,8;0,15;0,28
2649;6,6;0,23;0,29
2650;7,15;0,17;0,24
2651;7;0,34;0,39
2652;6,4;0,68;0,26
2653;7,3;0,22;0,31
2654;6,4;0,28;0,27
2655;6,9;0,4;0,22
2656;6,8;0,19;0,23
2657;7,1;0,23;0,24
2658;6,45;0,14;0,42
2659;6,5;0,15;0,44
2660;7,1;0,15;0,34
2661;6,7;0,33;0,34
2662;7,2;0,3;0,26
2663;7;0,23;0,33
2664;8;0,13;0,25
2665;6,2;0,21;0,34
2666;8,3;0,4;0,41
2667;5,9;0,34;0,31
2668;6,6;0,12;0,25
2669;9,6;0,655;0,21
2670;6,8;0,26;0,4
2671;5,9;0,34;0,31
2672;5,9;0,3;0,3
2673;7;0,15;0,3
2674;7,9;0,37;0,31
2675;7,2;0,35;0,25
2676;7,2;0,32;0,24
2677;7,6;0,1;0,33
2678;6,2;0,25;0,31
2679;7,1;0,31;0,17
2680;7,6;0,18;0,28
2681;8;0,17;0,29
2682;7,2;0,19;0,27
2683;7,6;0,32;0,25
2684;7,1;0,31;0,17
2685;6,6;0,21;0,29
2686;7;0,16;0,36
2687;8;0,17;0,29
2688;6,6;0,24;0,38
2689;7,2;0,19;0,27
2690;7,6;0,18;0,28
2691;6,9;0,3;0,25
2692;6,2;0,28;0,27
2693;6,9;0,31;0,32
2694;6,7;0,23;0,25
2695;6,2;0,28;0,27
2696;5,7;0,23;0,28
2697;6,5;0,22;0,5
2698;7;0,18;0,37
2699;6,9;0,31;0,32
2700;6,9;0,3;0,25
2701;6,5;0,46;0,31
2702;6,5;0,23;0,36
2703;6,5;0,23;0,36
2704;6,5;0,23;0,36
2705;6,6;0,26;0,38
2706;6,7;0,26;0,39
2707;7,5;0,28;0,39
2708;6,5;0,23;0,36
2709;6,8;0,23;0,42
2710;7,8;0,25;0,34
2711;7,8;0,25;0,34
2712;5,6;0,2;0,22
2713;6,4;0,21;0,44
2714;6,8;0,23;0,42
2715;6,8;0,24;0,37
2716;7,8;0,25;0,28
2717;7,8;0,25;0,34
2718;6,8;0,16;0,29
2719;5,2;0,28;0,29
2720;7,5;0,18;0,31
2721;7,5;0,26;0,3
2722;8,2;0,37;0,64
2723;7,6;0,4;0,27
2724;7,5;0,26;0,25
2725;7,5;0,18;0,31
2726;6,9;0,23;0,32
2727;5,3;0,2;0,31
2728;6,5;0,17;0,31
2729;6,5;0,35;0,28
2730;6,5;0,29;0,31
2731;6,8;0,3;0,22
2732;7,9;0,51;0,36
2733;7,9;0,51;0,34
2734;6,5;0,29;0,31
2735;7,1;0,29;0,28
2736;6,5;0,35;0,28
2737;6,5;0,17;0,31
2738;7,4;0,2;0,28
2739;6,9;0,615;0,42
2740;6,8;0,32;0,28
2741;6,3;0,2;0,19
2742;6,9;0,615;0,42
2743;8;0,23;0,28
2744;6,7;0,27;0,33
2745;6,7;0,27;0,33
2746;6,7;0,44;0,22
2747;7;0,34;0,3
2748;7,3;0,26;0,33
2749;5,8;0,17;0,34
2750;7,3;0,26;0,33
2751;5,8;0,17;0,34
2752;6,8;0,17;0,36
2753;7,1;0,43;0,3
2754;5,8;0,315;0,27
2755;5,9;0,17;0,28
2756;6,6;0,34;0,18
2757;8,6;0,33;0,34
2758;5,6;0,12;0,26
2759;5,8;0,13;0,26
2760;7,7;0,18;0,35
2761;7,7;0,16;0,36
2762;6;0,26;0,15
2763;7,3;0,32;0,35
2764;7,7;0,3;0,34
2765;7,9;0,16;0,3
2766;6,4;0,27;0,29
2767;6,9;0,16;0,37
2768;7,9;0,16;0,3
2769;7,7;0,3;0,34
2770;7,3;0,32;0,35
2771;6,4;0,44;0,44
2772;6,3;0,2;0,24
2773;6,2;0,29;0,32
2774;7,6;0,39;0,32
2775;7;0,36;0,32
2776;7;0,36;0,32
2777;7;0,36;0,32
2778;7,6;0,2;0,36
2779;7,6;0,39;0,32
2780;6,7;0,2;0,37
2781;6,2;0,235;0,34
2782;7,8;0,965;0,6
2783;7,1;0,2;0,31
2784;7,1;0,2;0,31
2785;7,1;0,2;0,31
2786;6,4;0,24;0,25
2787;8;0,3;0,36
2788;6,4;0,24;0,25
2789;6,9;0,4;0,42
2790;6,9;0,4;0,43
2791;7,1;0,2;0,31
2792;6,6;0,25;0,51
2793;6,8;0,26;0,44
2794;6,5;0,37;0,3
2795;6,8;0,35;0,53
2796;6,4;0,22;0,32
2797;6,5;0,37;0,3
2798;6,8;0,35;0,53
2799;6,9;0,31;0,32
2800;6,7;0,16;0,37
2801;6,6;0,25;0,51
2802;6,8;0,26;0,44
2803;5,6;0,15;0,31
2804;5,5;0,15;0,32
2805;6,4;0,22;0,32
2806;7,3;0,2;0,26
2807;7,5;0,17;0,71
2808;7,5;0,18;0,72
2809;7;0,27;0,48
2810;5,8;0,32;0,31
2811;7,8;0,26;0,31
2812;7,4;0,3;0,32
2813;6,7;0,16;0,34
2814;5,8;0,32;0,31
2815;6,7;0,19;0,39
2816;6,6;0,36;0,24
2817;7,2;0,17;0,41
2818;6,7;0,19;0,39
2819;6;0,11;0,47
2820;6;0,21;0,34
2821;6,7;0,325;0,82
2822;6,6;0,4;0,46
2823;6,5;0,2;0,24
2824;7,6;0,27;0,34
2825;7,2;0,26;0,4
2826;6,3;0,25;0,22
2827;6,5;0,22;0,45
2828;6,4;0,14;0,31
2829;6,4;0,14;0,31
2830;7,1;0,26;0,32
2831;6,6;0,22;0,34
2832;6,6;0,45;0,43
2833;6,6;0,17;0,3
2834;7,2;0,44;0,28
2835;6,2;0,15;0,27
2836;6,3;0,25;0,22
2837;6,5;0,22;0,45
2838;7,3;0,26;0,3
2839;6,9;0,15;0,29
2840;5,8;0,22;0,29
2841;6,5;0,37;0,33
2842;5,5;0,375;0,38
2843;5,9;0,2;0,4
2844;5,9;0,22;0,38
2845;8;0,22;0,31
2846;6,5;0,22;0,29
2847;6,9;0,15;0,29
2848;5,8;0,2;0,34
2849;6,6;0,31;0,07
2850;7,7;0,43;0,37
2851;6,7;0,24;0,29
2852;7,3;0,23;0,34
2853;7,9;0,2;0,39
2854;5,3;0,16;0,39
2855;6,4;0,21;0,28
2856;6,9;0,33;0,26
2857;5,6;0,18;0,58
2858;6,6;0,29;0,31
2859;6,9;0,33;0,26
2860;6,6;0,21;0,36
2861;7,3;0,21;0,33
2862;6,4;0,21;0,28
2863;5,1;0,11;0,32
2864;6,5;0,15;0,32
2865;5,3;0,16;0,39
2866;5,6;0,19;0,46
2867;5,6;0,18;0,58
2868;6,7;0,48;0,32
2869;6,2;0,23;0,23
2870;6;0,17;0,29
2871;6,7;0,48;0,32
2872;6,7;0,15;0,38
2873;4,2;0,17;0,36
2874;5,8;0,21;0,32
2875;5,4;0,23;0,36
2876;6,7;0,15;0,38
2877;6,4;0,22;0,31
2878;6,5;0,15;0,55
2879;5,9;0,32;0,33
2880;5,7;0,37;0,3
2881;7,9;0,25;0,35
2882;7,2;0,21;0,28
2883;7;0,24;0,3
2884;6,8;0,475;0,33
2885;7;0,28;0,32
2886;6,9;0,4;0,3
2887;6,6;0,41;0,31
2888;6,4;0,2;0,28
2889;8,5;0,22;0,34
2890;8,4;0,36;0,36
2891;5,2;0,285;0,29
2892;6,9;0,2;0,3
2893;6,7;0,42;0,46
2894;6,2;0,16;0,34
2895;6,4;0,125;0,36
2896;6,4;0,44;0,26
2897;7;0,31;0,39
2898;6,7;0,42;0,46
2899;8,6;0,18;0,28
2900;6,2;0,21;0,26
2901;6,1;0,16;0,37
2902;6,5;0,22;0,32
